 						Playing Time		 	Performance						 	Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
148	Adrian Leon Barišić	DF	ba Bosnia-Herzegovina	24	2001	4	4	296	3.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
149	Eman Košpo	DF	ba Bosnia-Herzegovina	18	2007	1	0	15	0.2	0	1	1	0	0	0	0	0	0.00	6.00	6.00	0.00	6.00	Matches
150	Sead Kolašinac	DF	ba Bosnia-Herzegovina	32	1993	4	4	286	3.2	0	1	1	0	0	0	2	0	0.00	0.31	0.31	0.00	0.31	Matches
151	Nikola Katić	DF	ba Bosnia-Herzegovina	29	1996	7	6	612	6.8	1	0	1	1	0	0	3	0	0.15	0.00	0.15	0.15	0.15	Matches
152	Emir Karic	DF	ba Bosnia-Herzegovina	28	1997	1	1	70	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
153	Haris Hajradinović	MF,FW	ba Bosnia-Herzegovina	31	1994	3	3	222	2.5	1	1	2	1	0	0	0	0	0.41	0.41	0.81	0.41	0.81	Matches
154	Dennis Hadzikadunic	DF	ba Bosnia-Herzegovina	27	1998	1	1	90	1.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
155	Amir Hadžiahmetović	MF	ba Bosnia-Herzegovina	28	1997	4	0	51	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
156	Armin Gigovic	MF,FW	ba Bosnia-Herzegovina	23	2002	8	5	325	3.6	1	0	1	1	0	0	1	0	0.28	0.00	0.28	0.28	0.28	Matches
157	Jusuf Gazibegović	DF	ba Bosnia-Herzegovina	25	2000	2	1	123	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
158	Edin Džeko	FW	ba Bosnia-Herzegovina	39	1986	9	8	715	7.9	6	0	6	6	0	0	2	0	0.76	0.00	0.76	0.76	0.76	Matches
159	Ermedin Demirović	FW	ba Bosnia-Herzegovina	27	1998	7	7	655	7.3	1	0	1	1	0	0	1	0	0.14	0.00	0.14	0.14	0.14	Matches
160	Amar Dedić	DF,FW	ba Bosnia-Herzegovina	23	2002	8	7	679	7.5	0	2	2	0	0	0	2	0	0.00	0.27	0.27	0.00	0.27	Matches
161	Dženis Burnić	DF,MF	ba Bosnia-Herzegovina	27	1998	8	3	406	4.5	0	1	1	0	0	0	2	0	0.00	0.22	0.22	0.00	0.22	Matches
162	Ermin Bičakčić	DF	ba Bosnia-Herzegovina	36	1990	2	0	11	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
163	Dino Beširović	MF	ba Bosnia-Herzegovina	32	1994	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
164	Samed Baždar	MF,FW	ba Bosnia-Herzegovina	22	2004	7	2	224	2.5	1	0	1	1	0	0	0	0	0.40	0.00	0.40	0.40	0.40	Matches
