 						Playing Time 			Performance 							Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
205	Mateo Chávez	DF	mx Mexico	20	2004	3	2	170	1.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
206	Luis Chávez	MF	mx Mexico	29	1996	2	1	109	1.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
207	Julian Araujo	DF	mx Mexico	23	2001	2	2	180	2.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
208	Luis Ángel Malagón	GK	mx Mexico	27	1997	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
209	Edson Álvarez	MF,DF	mx Mexico	27	1997	6	6	540	6.0	2	1	3	2	0	0	0	0	0.33	0.17	0.50	0.33	0.50	Matches
210	Roberto Alvarado	MF,FW	mx Mexico	26	1998	6	6	494	5.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
313	Walker Zimmerman	DF	us United States	31	1993	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
314	Haji Wright	FW,MF	us United States	26	1998	1	0	18	0.2	1	0	1	1	0	0	0	0	5.00	0.00	5.00	5.00	5.00	Matches
315	Brian White	FW	us United States	28	1996	2	0	10	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
316	John Tolkin	DF	us United States	22	2002	4	1	116	1.3	0	1	1	0	0	0	0	0	0.00	0.78	0.78	0.00	0.78	Matches
317	Malik Tillman	MF	us United States	22	2002	6	6	540	6.0	3	2	5	3	0	1	0	0	0.50	0.33	0.83	0.50	0.83	Matches
318	Quinn Sullivan	MF	us United States	20	2004	1	1	69	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
319	Miles Robinson	DF	us United States	27	1997	2	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
320	Chris Richards	DF	us United States	24	2000	6	6	536	6.0	2	0	2	2	0	0	2	0	0.34	0.00	0.34	0.34	0.34	Matches
321	Tim Ream	DF	us United States	37	1987	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
322	Mark McKenzie	DF	us United States	25	1999	1	0	17	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
323	Jack McGlynn	MF	us United States	21	2003	6	2	186	2.1	0	1	1	0	0	0	0	0	0.00	0.48	0.48	0.00	0.48	Matches
324	Diego Luna	MF	us United States	21	2003	6	5	412	4.6	3	2	5	3	0	0	2	0	0.66	0.44	1.09	0.66	1.09	Matches
325	Luca de la Torre	MF	us United States	26	1998	6	6	425	4.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
326	Matt Freese	GK	us United States	26	1998	6	6	540	6.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
327	Alex Freeman	DF	us United States	20	2004	6	6	537	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
328	Damion Downs	FW	us United States	20	2004	4	0	70	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
329	Johnny Cardoso	MF	us United States	23	2001	2	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
330	Sebastian Berhalter	MF	us United States	23	2001	5	5	450	5.0	0	2	2	0	0	0	1	0	0.00	0.40	0.40	0.00	0.40	Matches
331	Max Arfsten	DF	us United States	23	2001	5	5	432	4.8	1	3	4	1	0	0	0	0	0.21	0.62	0.83	0.21	0.83	Matches
332	Patrick Agyemang	FW	us United States	24	2000	6	6	503	5.6	2	0	2	2	0	0	0	0	0.36	0.00	0.36	0.36	0.36	Matches
333	Tyler Adams	MF	us United States	25	1999	5	4	363	4.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
334	Paxten Aaronson	MF	us United States	21	2003	2	0	11	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
335	Brenden Aaronson	MF	us United States	24	2000	5	1	139	1.5	1	1	2	1	0	0	0	0	0.65	0.65	1.29	0.65	1.29	Matches
