 						Playing Time		 	Performance 							Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
137	Jordy Bos	DF	au Australia	23	2002	9	4	434	4.8	0	2	2	0	0	0	1	0	0.00	0.41	0.41	0.00	0.41	Matches
138	Brandon Borrello	FW,MF	au Australia	30	1995	7	3	320	3.6	1	0	1	1	0	0	0	0	0.28	0.00	0.28	0.28	0.28	Matches
139	Aziz Behich	MF,DF	au Australia	35	1990	14	10	943	10.5	1	0	1	1	0	0	0	0	0.10	0.00	0.10	0.10	0.10	Matches
140	Keanu Baccus	MF	au Australia	27	1998	6	5	405	4.5	1	0	1	1	0	0	4	0	0.22	0.00	0.22	0.22	0.22	Matches
141	Nathaniel Atkinson	DF	au Australia	26	1999	1	1	90	1.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
142	Daniel Arzani	FW,MF	au Australia	27	1999	4	0	58	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
421	Munaf Yunus	DF	iq Iraq	29	1996	9	6	573	6.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
422	Ali Yousif	FW	iq Iraq	30	1996	2	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
423	Ahmed Yasin Ghani	MF	iq Iraq	34	1991	5	1	122	1.4	0	1	1	0	0	0	0	0	0.00	0.74	0.74	0.00	0.74	Matches
424	Kevin Yakob	MF	iq Iraq	25	2000	2	2	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
425	Ahmed Yahya	DF,MF	iq Iraq	30	1995	7	5	435	4.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
426	Zaid Tahseen	DF	iq Iraq	25	2001	13	12	1,010	11.2	1	0	1	1	0	0	2	1	0.09	0.00	0.09	0.09	0.09	Matches
427	Mohamed Al Taay	MF	iq Iraq	25	2000	4	1	120	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
428	Rebin Sulaka	DF	iq Iraq	33	1992	16	15	1,246	13.8	0	1	1	0	0	0	1	1	0.00	0.07	0.07	0.00	0.07	Matches
429	Lucas Shlimon	MF	iq Iraq	22	2003	3	1	67	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
430	Aimar Sher	MF	iq Iraq	23	2002	4	3	252	2.8	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
431	Charbel Shamoon	DF	iq Iraq	21	2004	1	0	17	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
432	Danilo Al Saed	FW	iq Iraq	26	1999	2	0	25	0.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
433	Mustafa Saadoon	DF,MF	iq Iraq	24	2001	7	3	246	2.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
434	Bashar Resan	MF	iq Iraq	29	1996	5	5	286	3.2	1	0	1	1	0	0	0	0	0.31	0.00	0.31	0.31	0.31	Matches
435	Osama Rashid	MF	iq Iraq	34	1992	9	9	657	7.3	1	0	1	1	0	0	0	0	0.14	0.00	0.14	0.14	0.14	Matches
436	Mohammed Qasim	MF	iq Iraq	29	1996	2	0	46	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
437	Saad Natiq	DF	iq Iraq	31	1994	2	2	153	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
438	Amar Muhsin	FW	iq Iraq	28	1997	2	0	23	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
439	Mimi	FW	iq Iraq	25	2000	16	6	631	7.0	2	1	3	2	0	1	1	0	0.29	0.14	0.43	0.29	0.43	Matches
440	Montader Madjed	MF	iq Iraq	20	2005	1	0	15	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
441	Sherko Karim	MF,FW	iq Iraq	29	1996	3	2	112	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
442	Sajjad Jasim	MF	iq Iraq	28	1998	2	0	39	0.4	1	0	1	1	0	0	0	0	2.31	0.00	2.31	2.31	2.31	Matches
443	Ali Jasim	MF	iq Iraq	22	2004	20	15	1,364	15.2	2	4	6	2	0	0	0	0	0.13	0.26	0.40	0.13	0.40	Matches
444	Dhurgham Ismail	DF	iq Iraq	31	1994	1	1	75	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
445	Zidane Iqbal	MF	iq Iraq	22	2003	12	6	634	7.0	2	0	2	2	0	0	2	0	0.28	0.00	0.28	0.28	0.28	Matches
446	Ayman Hussein	FW	iq Iraq	29	1996	15	13	1,117	12.4	8	0	8	6	2	3	2	0	0.64	0.00	0.64	0.48	0.48	Matches
447	Jalal Hassan	GK	iq Iraq	34	1991	16	16	1,440	16.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
448	Akam Hashim	DF	iq Iraq	27	1998	6	3	307	3.4	1	0	1	1	0	0	1	0	0.29	0.00	0.29	0.29	0.29	Matches
449	Ali Al Hamadi	FW,MF	iq Iraq	23	2002	6	4	194	2.2	2	0	2	2	0	0	0	1	0.93	0.00	0.93	0.93	0.93	Matches
450	Safaa Hadi	MF	iq Iraq	27	1998	3	2	142	1.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
451	Peter Gwargis	MF	iq Iraq	25	2000	1	1	72	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
452	Hussain Ghasem	DF	iq Iraq			1	0	10	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
453	Marko Farji	MF	iq Iraq	21	2004	4	3	251	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
454	Ali Faez	DF	iq Iraq	31	1994	3	1	115	1.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
455	Merchas Doski	DF	iq Iraq	26	1999	15	15	1,350	15.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
456	Frans Dhia Putros	DF	iq Iraq	32	1993	6	2	267	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
457	Ibrahim Bayesh	MF	iq Iraq	25	2000	18	15	1,345	14.9	2	2	4	2	0	0	0	0	0.13	0.13	0.27	0.13	0.27	Matches
458	Ahmed Basil	GK	iq Iraq	29	1996	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
459	Amjad Attwan	MF	iq Iraq	28	1997	6	3	332	3.7	0	1	1	0	0	0	2	0	0.00	0.27	0.27	0.00	0.27	Matches
460	Luay Al Ani	MF	iq Iraq	28	1997	3	1	104	1.2	0	1	1	0	0	0	1	0	0.00	0.87	0.87	0.00	0.87	Matches
461	Youssef Amyn	MF,FW	iq Iraq	22	2003	16	8	864	9.6	2	1	3	2	0	0	2	0	0.21	0.10	0.31	0.21	0.31	Matches
462	Amir Al Ammari	MF	iq Iraq	28	1997	18	16	1,447	16.1	2	3	5	1	1	1	2	0	0.12	0.19	0.31	0.06	0.25	Matches
463	Ahmed Allée	MF	iq Iraq	29	1996	1	0	24	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
464	Hussein Ali	DF	iq Iraq	23	2002	18	15	1,289	14.3	1	0	1	1	0	0	1	0	0.07	0.00	0.07	0.07	0.07	Matches
465	Ali Adnan Kadhim	DF	iq Iraq	32	1993	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
466	Pashang Abdulla	FW	iq Iraq	31	1994	1	0	11	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
467	Hasan Abdulkareem	MF	iq Iraq	27	1999	4	0	60	0.7	0	1	1	0	0	0	0	0	0.00	1.50	1.50	0.00	1.50	Matches
468	Saad Abdul-Amir	MF	iq Iraq	34	1992	2	1	103	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
469	Arya Yousefi	DF	ir IR Iran	23	2002	5	4	278	3.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
470	Mehdi Torabi	MF	ir IR Iran	31	1994	4	2	228	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
471	Mehdi Taremi	MF,FW	ir IR Iran	33	1992	15	15	1,329	14.8	10	7	17	8	2	3	0	0	0.68	0.47	1.15	0.54	1.02	Matches
472	Allahyar Sayyadmanesh	FW,MF	ir IR Iran	24	2001	1	0	19	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
473	Ramin Rezaeian	DF	ir IR Iran	35	1990	3	3	270	3.0	2	0	2	2	0	0	1	0	0.67	0.00	0.67	0.67	0.67	Matches
474	Amirmohammad Razaghinia	MF	ir IR Iran	19	2006	1	1	33	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
