Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
313	Wilfried Singo	DF,MF	ci Côte d'Ivoire	25	2000	6	4	392	4.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
314	Jean Seri	MF	ci Côte d'Ivoire	34	1991	4	1	120	1.3	0	1	1	0	0	0	0	0	0.00	0.75	0.75	0.00	0.75	Matches
315	Ibrahim Sangaré	MF	ci Côte d'Ivoire	28	1997	7	6	451	5.0	2	0	2	1	1	1	0	0	0.40	0.00	0.40	0.20	0.20	Matches
316	Nicolas Pépé	MF,FW	ci Côte d'Ivoire	30	1995	5	3	206	2.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
317	Christopher Operi	DF	ci Côte d'Ivoire	28	1997	3	1	98	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
318	Obite N'Dicka	DF	ci Côte d'Ivoire	26	1999	7	7	630	7.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
319	Emmanuel Latte Lath	FW	ci Côte d'Ivoire	27	1999	2	1	65	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
320	Alban Lafont	GK	ci Côte d'Ivoire	27	1999	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
321	Jean-Philippe Krasso	MF	ci Côte d'Ivoire	28	1997	3	1	132	1.5	1	1	2	0	1	1	0	0	0.68	0.68	1.36	0.00	0.68	Matches
322	Christian Kouamé	MF	ci Côte d'Ivoire	28	1997	1	1	88	1.0	1	0	1	1	0	0	0	0	1.02	0.00	1.02	1.02	1.02	Matches
323	Odilon Kossounou	DF	ci Côte d'Ivoire	25	2001	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
324	Karim Konaté	FW	ci Côte d'Ivoire	21	2004	2	1	116	1.3	2	2	4	1	1	1	1	0	1.55	1.55	3.10	0.78	2.33	Matches
325	Ghislain Konan	DF,MF	ci Côte d'Ivoire	30	1995	5	5	445	4.9	0	1	1	0	0	0	0	0	0.00	0.20	0.20	0.00	0.20	Matches
326	Franck Kessié	MF	ci Côte d'Ivoire	29	1996	10	9	781	8.7	2	2	4	2	0	0	1	0	0.23	0.23	0.46	0.23	0.46	Matches
327	Hassane Kamara	DF,MF	ci Côte d'Ivoire	31	1994	4	3	240	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
328	Hamed Junior Traorè	MF	ci Côte d'Ivoire	25	2000	2	1	116	1.3	2	0	2	2	0	0	0	0	1.55	0.00	1.55	1.55	1.55	Matches
329	Sébastien Haller	FW	ci Côte d'Ivoire	31	1994	8	5	419	4.7	2	1	3	1	1	1	0	0	0.43	0.21	0.64	0.21	0.43	Matches
330	Parfait Guiagon	MF	ci Côte d'Ivoire	24	2001	1	0	24	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
331	Evann Guessand	FW,MF	ci Côte d'Ivoire	24	2001	6	3	313	3.5	2	0	2	2	0	0	1	0	0.58	0.00	0.58	0.58	0.58	Matches
332	Jean-Philippe Gbamin	DF,MF	ci Côte d'Ivoire	30	1995	4	3	287	3.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
333	Yahia Fofana	GK	ci Côte d'Ivoire	25	2000	9	9	810	9.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
334	Seko Fofana	MF	ci Côte d'Ivoire	30	1995	6	5	423	4.7	3	1	4	3	0	0	0	0	0.64	0.21	0.85	0.64	0.85	Matches
335	Guela Doué	MF,DF	ci Côte d'Ivoire	23	2002	3	2	221	2.5	0	1	1	0	0	0	0	0	0.00	0.41	0.41	0.00	0.41	Matches
336	Yan Diomandé	MF	ci Côte d'Ivoire	19	2006	2	2	139	1.5	2	0	2	2	0	0	0	0	1.29	0.00	1.29	1.29	1.29	Matches
337	Ousmane Diomande	DF	ci Côte d'Ivoire	22	2003	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
338	Mohamed Diomandé	MF	ci Côte d'Ivoire	24	2001	4	1	91	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
339	Junior Diaz	DF	ci Côte d'Ivoire	22	2003	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
340	Amad Diallo	MF	ci Côte d'Ivoire	23	2002	3	3	225	2.5	1	1	2	1	0	0	1	0	0.40	0.40	0.80	0.40	0.80	Matches
341	Oumar Diakité	FW	ci Côte d'Ivoire	22	2003	7	3	303	3.4	1	0	1	1	0	0	0	0	0.30	0.00	0.30	0.30	0.30	Matches
