 	                                        Playing Time 	                Performance 	                                                Per 90 Minutes	
Rk 	Player 	Pos 	Squad Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
278	Denil Castillo	MF	ec Ecuador	21	2004	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
279	Leonardo Campana	FW	ec Ecuador	25	2000	3	0	54	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
280	Moisés Caicedo	MF	ec Ecuador	24	2001	16	16	1,399	15.5	0	3	3	0	0	0	5	1	0.00	0.19	0.19	0.00	0.19	Matches
281	Jordy Caicedo	FW	ec Ecuador	28	1997	2	1	57	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
282	Beder Caicedo	DF,MF	ec Ecuador	33	1992	1	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
283	Keny Arroyo	MF	ec Ecuador	19	2006	2	0	33	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
284	Robert Arboleda	DF	ec Ecuador	34	1991	3	3	249	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
285	Nilson Angulo	MF	ec Ecuador	22	2003	4	4	306	3.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
286	Jordy Alcivar	MF	ec Ecuador	26	1999	2	1	122	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
332	Mathías Villasanti	MF	py Paraguay	29	1997	15	8	739	8.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
333	Héctor Villalba	FW,MF	py Paraguay	31	1994	2	0	61	0.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
334	Wilder Viera	MF	py Paraguay	23	2002	1	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
335	Gustavo Velásquez	DF	py Paraguay	34	1991	5	3	344	3.8	0	1	1	0	0	0	2	0	0.00	0.26	0.26	0.00	0.26	Matches
336	Ramón Sosa	MF,FW	py Paraguay	26	1999	17	9	852	9.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
337	Agustín Sández	DF,MF	py Paraguay	25	2001	4	3	222	2.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
338	Richard Sánchez	MF	py Paraguay	29	1996	2	1	135	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
339	Antonio Sanabria	FW,MF	py Paraguay	29	1996	13	8	670	7.4	4	1	5	4	0	0	0	0	0.54	0.13	0.67	0.54	0.67	Matches
340	Ángel Romero	MF	py Paraguay	33	1992	7	1	143	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
341	Robert Rojas	DF	py Paraguay	29	1996	5	3	259	2.9	0	0	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
342	Matías Rojas	MF	py Paraguay	30	1995	3	2	132	1.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
343	Blas Riveros	DF	py Paraguay	27	1998	2	1	96	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
344	Iván Ramírez	MF	py Paraguay	31	1994	1	1	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
345	Isidro Pitta	FW	py Paraguay	26	1999	5	3	214	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
346	Iván Piris	DF	py Paraguay	36	1989	2	0	33	0.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
347	Alfio Oviedo	FW	py Paraguay	30	1995	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
348	Richard Ortiz	MF	py Paraguay	35	1990	1	1	45	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
349	Braian Ojeda	MF	py Paraguay	25	2000	2	0	37	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
350	Ronaldo Martínez	FW	py Paraguay	29	1996	2	2	105	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
351	Ivan Leguizamon	FW,MF	py Paraguay	23	2002	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
352	Kaku	MF	py Paraguay	31	1995	12	1	214	2.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
353	Carlos González Espínola	FW	py Paraguay	32	1993	2	0	45	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
354	Gustavo Gómez	DF	py Paraguay	32	1993	15	15	1,350	15.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
355	Diego Gómez	MF	py Paraguay	22	2003	13	12	877	9.7	1	2	3	1	0	0	2	1	0.10	0.21	0.31	0.10	0.31	Matches
356	Orlando Gill	GK	py Paraguay	25	2000	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
357	Matías Galarza	MF	py Paraguay	23	2002	7	3	357	4.0	2	1	3	2	0	0	2	0	0.50	0.25	0.76	0.50	0.76	Matches
358	Gatito Fernández	GK	py Paraguay	37	1988	11	11	990	11.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
359	Matías Espinoza	DF,MF	py Paraguay	28	1997	4	4	360	4.0	0	1	1	0	0	0	0	0	0.00	0.25	0.25	0.00	0.25	Matches
360	Alberto Espínola	DF	py Paraguay	34	1991	1	1	66	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
361	Julio Enciso	MF,FW	py Paraguay	22	2004	10	9	792	8.8	3	1	4	2	1	2	0	0	0.34	0.11	0.45	0.23	0.34	Matches
362	Hugo Cuenca	MF	py Paraguay	21	2005	1	0	5	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
363	Andrés Cubas	MF	py Paraguay	29	1996	13	13	1,123	12.5	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
364	Carlos Coronel	GK	py Paraguay	29	1996	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
365	Óscar Cardozo	FW	py Paraguay	42	1983	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
366	Álvaro Campuzano	MF	py Paraguay	30	1995	3	2	166	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
367	Juan Cáceres	DF,MF	py Paraguay	25	2000	12	10	924	10.3	0	1	1	0	0	0	3	0	0.00	0.10	0.10	0.00	0.10	Matches
368	Hernesto Caballero	MF	py Paraguay	34	1991	2	0	73	0.8	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
369	Damián Bobadilla	MF	py Paraguay	24	2001	9	6	509	5.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
370	Adam Bareiro	FW	py Paraguay	29	1996	3	3	208	2.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
371	Fabián Balbuena	DF	py Paraguay	34	1991	9	8	731	8.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
372	Gabriel Ávalos	FW	py Paraguay	35	1990	11	4	411	4.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
373	Santiago Arzamendia	DF	py Paraguay	27	1998	1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
374	Alex Arce	FW	py Paraguay	30	1995	5	2	190	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
375	Júnior Alonso	DF	py Paraguay	32	1993	12	12	1,060	11.8	1	1	2	1	0	0	4	0	0.08	0.08	0.17	0.08	0.17	Matches
376	Miguel Almirón	MF,FW	py Paraguay	31	1994	15	15	1,280	14.2	1	1	2	1	0	0	2	0	0.07	0.07	0.14	0.07	0.14	Matches
377	Omar Alderete	DF	py Paraguay	29	1996	14	14	1,208	13.4	2	0	2	2	0	0	2	0	0.15	0.00	0.15	0.15	0.15	Matches
378	Rodrigo Zalazar	FW,MF	uy Uruguay	26	1999	2	0	44	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
379	Federico Viñas	FW	uy Uruguay	27	1998	5	1	91	1.0	1	0	1	1	0	0	0	0	0.99	0.00	0.99	0.99	0.99	Matches
380	Matías Viña	DF	uy Uruguay	28	1997	6	5	412	4.6	0	1	1	0	0	0	2	0	0.00	0.22	0.22	0.00	0.22	Matches
381	Matías Vecino	FW,MF	uy Uruguay	34	1991	2	0	23	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
382	Guillermo Varela	DF	uy Uruguay	32	1993	8	6	498	5.5	0	1	1	0	0	0	1	0	0.00	0.18	0.18	0.00	0.18	Matches
383	Federico Valverde	MF	uy Uruguay	27	1998	15	14	1,286	14.3	2	0	2	2	0	0	3	0	0.14	0.00	0.14	0.14	0.14	Matches
384	Manuel Ugarte	MF	uy Uruguay	24	2001	16	14	1,265	14.1	1	0	1	1	0	0	4	0	0.07	0.00	0.07	0.07	0.07	Matches
385	Facundo Torres	MF	uy Uruguay	25	2000	4	0	80	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
386	Luis Suárez	FW	uy Uruguay	39	1987	2	1	108	1.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
387	Marcelo Saracchi	DF	uy Uruguay	27	1998	5	2	189	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
388	Luciano Rodríguez	FW	uy Uruguay	22	2003	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
389	Brian Rodríguez	MF,FW	uy Uruguay	25	2000	8	5	430	4.8	0	1	1	0	0	0	1	0	0.00	0.21	0.21	0.00	0.21	Matches
390	Sergio Rochet	GK	uy Uruguay	32	1993	14	14	1,260	14.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
391	Joaquín Piquerez	DF	uy Uruguay	27	1998	7	4	367	4.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
392	Facundo Pellistri	FW,MF	uy Uruguay	24	2001	17	14	1,165	12.9	0	2	2	0	0	0	0	0	0.00	0.15	0.15	0.00	0.15	Matches
393	Mathías Olivera	DF	uy Uruguay	28	1997	12	10	885	9.8	1	1	2	1	0	0	4	0	0.10	0.10	0.20	0.10	0.20	Matches
394	Cristian Olivera	FW,MF	uy Uruguay	23	2002	9	5	488	5.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
395	Lucas Olaza	DF	uy Uruguay	31	1994	2	2	166	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
396	Darwin Núñez	FW	uy Uruguay	26	1999	13	12	969	10.8	5	2	7	4	1	1	1	0	0.46	0.19	0.65	0.37	0.56	Matches
397	Nahitan Nández	DF,MF	uy Uruguay	30	1995	13	12	1,045	11.6	0	0	0	0	0	0	6	0	0.00	0.00	0.00	0.00	0.00	Matches
398	Miguel Merentiel	FW	uy Uruguay	29	1996	1	0	45	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
399	Bruno Méndez	DF	uy Uruguay	26	1999	2	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
400	Santiago Mele	GK	uy Uruguay	28	1997	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
401	Emiliano Martínez	MF	uy Uruguay	26	1999	2	1	102	1.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
402	Nicolas Marichal	DF	uy Uruguay	24	2001	2	1	131	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
403	José María Giménez	DF	uy Uruguay	31	1995	9	8	765	8.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
404	Maxi Gómez	FW	uy Uruguay	29	1996	1	0	18	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
405	Nicolas Fonseca	MF	uy Uruguay	27	1998	4	1	106	1.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
406	Nicolás De La Cruz	MF	uy Uruguay	28	1997	8	6	567	6.3	3	3	6	3	0	0	1	0	0.48	0.48	0.95	0.48	0.95	Matches
407	Giorgian De Arrascaeta	MF	uy Uruguay	31	1994	8	6	462	5.1	2	0	2	2	0	0	0	0	0.39	0.00	0.39	0.39	0.39	Matches
408	Felipe Carballo	MF	uy Uruguay	29	1996	3	0	54	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
409	Agustín Canobbio	MF	uy Uruguay	27	1998	3	1	76	0.8	1	0	1	1	0	0	0	0	1.18	0.00	1.18	1.18	1.18	Matches
410	Sebastián Cáceres	DF	uy Uruguay	26	1999	12	11	916	10.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
411	Santiago Bueno	DF	uy Uruguay	27	1998	4	3	315	3.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
412	Rodrigo Bentancur	MF	uy Uruguay	28	1997	9	8	732	8.1	0	1	1	0	0	0	4	0	0.00	0.12	0.12	0.00	0.12	Matches
413	José Luis Rodríguez Bebanz	DF	uy Uruguay	28	1997	1	0	25	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
414	Ronald Araújo	DF	uy Uruguay	26	1999	8	8	720	8.0	1	0	1	1	0	0	2	0	0.12	0.00	0.12	0.12	0.12	Matches
415	Maximiliano Araújo	MF,FW	uy Uruguay	25	2000	15	14	1,170	13.0	0	4	4	0	0	0	0	0	0.00	0.31	0.31	0.00	0.31	Matches
416	Kevin Amaro	DF	uy Uruguay	21	2004	1	0	20	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
417	Agustín Álvarez	FW	uy Uruguay	24	2001	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
418	Rodrigo Aguirre	FW,MF	uy Uruguay	31	1994	7	5	430	4.8	3	1	4	3	0	0	1	0	0.63	0.21	0.84	0.63	0.84	Matches
